input_len,n_samples,combinations,num,epoch,ensemble,smape,mase*
18,1400000,2,2,1,False,13.460078964506256,2.7223531220188097
18,1400000,2,2,1,True,13.460078964506256,2.7223531220188097
18,1400000,2,2,2,False,13.276674238101807,2.6902284382275603
18,1400000,2,2,2,True,13.353592722301906,2.7032975953039635
18,1400000,2,2,3,False,13.330929311606319,2.709158796599927
18,1400000,2,2,3,True,13.332084064935042,2.7028229535017188
18,1400000,2,2,4,False,13.215738539544502,2.672318945843583
18,1400000,2,2,4,True,13.279753311752046,2.691242245400393
18,1400000,2,2,5,False,13.23470654191734,2.672881767359643
18,1400000,2,2,5,True,13.264594947619164,2.686757450161802
18,1400000,2,2,6,False,13.315555223540722,2.687933215183801
18,1400000,2,2,6,True,13.25480224271964,2.683236983790159
18,1400000,2,2,7,False,13.492608877174156,2.75818431733415
18,1400000,2,2,7,True,13.267111363441781,2.6886870204579894
18,1400000,2,2,8,False,13.313444312337756,2.698016436618263
18,1400000,2,2,8,True,13.264395643521864,2.6883275422544446
18,1400000,2,2,9,False,13.509179471753708,2.738156420064833
18,1400000,2,2,9,True,13.279238254117365,2.6916031125970017
18,1400000,2,2,10,False,13.292334540066806,2.68181316810886
18,1400000,2,2,10,True,13.274189911977833,2.689406203721629
18,1400000,2,2,11,False,13.34678390460755,2.7155863915173475
18,1400000,2,2,11,True,13.275649904479172,2.690838284705429
18,1400000,2,2,12,False,13.538252476344363,2.764231487219213
18,1400000,2,2,12,True,13.291457218984458,2.694890201769078
18,1400000,2,2,13,False,13.301891708740634,2.700282647932552
18,1400000,2,2,13,True,13.287674374022,2.6950286815363302
18,1400000,2,2,14,False,13.266122845934841,2.685926634762704
18,1400000,2,2,14,True,13.278022915917466,2.6925470523706236
18,1400000,2,2,15,False,13.436152954887675,2.7444851671683232
18,1400000,2,2,15,True,13.286117160355888,2.6957735447454243
18,1400000,2,,0,True,13.295613797151429,2.693348058701306
18,1400000,2,,1,True,13.32311438359517,2.6998341487495403
18,1400000,2,,2,True,13.306588416694932,2.6956377680823302
18,1400000,2,,3,True,13.328973980071433,2.6978842076164065
18,1400000,2,,4,True,13.281453647218354,2.690043924047535
18,1400000,2,,5,True,13.33682205430449,2.6994287582615386
18,1400000,2,,6,True,13.321033067373381,2.7013450864133617
18,1400000,2,,7,True,13.32303495352286,2.69751649040166
18,1400000,2,,8,True,13.33988015712704,2.700147580530344
18,1400000,2,,9,True,13.350366425016272,2.7019385524769306
18,1400000,2,,10,True,13.275401599164294,2.691159297934262
18,1400000,2,,11,True,13.34956378195212,2.708746944332786
18,1400000,2,,12,True,13.33634262901038,2.695731387313624
18,1400000,2,,13,True,13.273701085579916,2.6857217189342855
18,1400000,2,,14,True,13.329157149627838,2.6998502972160923
18,1400000,2,6,1,False,13.586711647118376,2.7373877252379613
18,1400000,2,6,1,True,13.586711647118376,2.7373877252379613
18,1400000,2,6,2,False,13.569141910978628,2.7264449475842785
18,1400000,2,6,2,True,13.555108489165846,2.7281370995533525
18,1400000,2,6,3,False,13.565143621453194,2.7179193863845494
