dataset,aug_perc,num,epoch,ensemble,smape,mase*
235k,0.25,0,1,False,14.465385045968755,2.9174590354688315
235k,0.25,0,1,True,14.465385045968755,2.9174590354688315
235k,0.25,0,2,False,13.841653749437627,2.821056585071238
235k,0.25,0,2,True,13.996771791842855,2.840867454309779
235k,0.25,0,3,False,13.856559267875591,2.8261102782100584
235k,0.25,0,3,True,13.824323751459467,2.817770002130581
235k,0.25,0,4,False,13.468558562743214,2.7438928894919528
235k,0.25,0,4,True,13.61174036458776,2.784694018374792
235k,0.25,0,5,False,13.402311733739818,2.7266111334634515
235k,0.25,0,5,True,13.523342429992125,2.7685892353394
235k,0.25,0,6,False,13.57471634449765,2.782437473490197
235k,0.25,0,6,True,13.423264283741949,2.749787516339791
235k,0.25,0,7,False,13.475901600942096,2.7302089220741146
235k,0.25,0,7,True,13.368555064538038,2.7363947456364897
235k,0.25,0,8,False,13.491987026848308,2.7073394637728465
235k,0.25,0,8,True,13.341130240902098,2.727017636710542
235k,0.25,0,9,False,13.396637693906008,2.7412434112993735
235k,0.25,0,9,True,13.333845563184273,2.726459450299702
235k,0.25,0,10,False,13.324679432118844,2.7237856066603388
235k,0.25,0,10,True,13.312429340239198,2.722849752182194
235k,0.25,0,11,False,13.541064024161786,2.785205667188899
235k,0.25,0,11,True,13.312489701880608,2.7226045170093975
235k,0.25,0,12,False,13.373392149107465,2.7160918841232764
235k,0.25,0,12,True,13.300791375465444,2.7187861483224838
235k,0.25,0,13,False,13.343017294380102,2.715375657974319
235k,0.25,0,13,True,13.28553609295815,2.715008537074664
235k,0.25,0,14,False,13.293312638790638,2.7151825836117522
235k,0.25,0,14,True,13.272996988254146,2.7124743313796484
235k,0.25,0,15,False,13.267087872450443,2.710312106309859
235k,0.25,0,15,True,13.267224511104681,2.7116772450090045
235k,0.25,1,1,False,14.198891928659975,2.884476051235085
235k,0.25,1,1,True,14.198891928659975,2.884476051235085
235k,0.25,1,2,False,13.848732955965609,2.8566196449846877
235k,0.25,1,2,True,13.808028948638709,2.8348845235745723
235k,0.25,1,3,False,13.380861936973721,2.7222255705671503
235k,0.25,1,3,True,13.586803869636896,2.7843353956842667
235k,0.25,1,4,False,13.862319009232191,2.861319105098225
235k,0.25,1,4,True,13.58061027628529,2.7972178387698086
235k,0.25,1,5,False,13.340673150078667,2.7218674252165065
235k,0.25,1,5,True,13.494069689543522,2.775063374062818
235k,0.25,1,6,False,13.474718948683284,2.751503547888716
235k,0.25,1,6,True,13.416533228461281,2.757895238531089
235k,0.25,1,7,False,13.349108233314753,2.7179035946873205
235k,0.25,1,7,True,13.357852541380435,2.73896129490525
235k,0.25,1,8,False,13.246684894505306,2.6921980825496084
235k,0.25,1,8,True,13.310726373917216,2.7250253290368742
235k,0.25,1,9,False,13.542881371847619,2.77611370481278
235k,0.25,1,9,True,13.316464971851307,2.72727659706421
235k,0.25,1,10,False,13.330015622713416,2.701046208884034
235k,0.25,1,10,True,13.290059428585126,2.7184159833398116
235k,0.25,1,11,False,13.270301090769607,2.7078292387310205
235k,0.25,1,11,True,13.273189933430507,2.714032222921453
235k,0.25,1,12,False,13.259792942940171,2.7125203544163585
235k,0.25,1,12,True,13.254522798570648,2.7097331114064542
235k,0.25,1,13,False,13.371226763461832,2.7289929380523774
235k,0.25,1,13,True,13.247457099149614,2.708261990608071
235k,0.25,1,14,False,13.1892655874311,2.6843109507989125
235k,0.25,1,14,True,13.22407071034739,2.7032475839743415
235k,0.25,1,15,False,13.23226290450144,2.7043029889759653
235k,0.25,1,15,True,13.209703020836065,2.700955348550376
235k,0.25,2,1,False,13.975674266945514,2.820353929858739
235k,0.25,2,1,True,13.975674266945514,2.820353929858739
235k,0.25,2,2,False,13.740017455019046,2.811436534368714
235k,0.25,2,2,True,13.708915033217712,2.78976954342005
235k,0.25,2,3,False,13.660498975737642,2.696416499084707
235k,0.25,2,3,True,13.539646417134517,2.7485461879857227
235k,0.25,2,4,False,13.551915494828545,2.7138067909001986
235k,0.25,2,4,True,13.384945153110756,2.706805303580263
235k,0.25,2,5,False,13.547558580886665,2.76472274994316
235k,0.25,2,5,True,13.381729781171565,2.7134423925137594
235k,0.25,2,6,False,13.485027264464854,2.7312445477170444
235k,0.25,2,6,True,13.345047581408387,2.7064894163559723
235k,0.25,2,7,False,13.728483381084931,2.798565407626937
235k,0.25,2,7,True,13.379678182927416,2.720183489159839
235k,0.25,2,8,False,13.641894280822708,2.748274287617638
235k,0.25,2,8,True,13.384917846897956,2.720711148187762
235k,0.25,2,9,False,13.671213709335582,2.833824966880167
235k,0.25,2,9,True,13.404193339133741,2.7297044603710945
235k,0.25,2,10,False,13.41292852848887,2.7301655789340717
235k,0.25,2,10,True,13.383068015264945,2.7276883077168894
235k,0.25,2,11,False,13.279532592032044,2.6885682001430005
235k,0.25,2,11,True,13.35754100459676,2.7206493106563543
235k,0.25,2,12,False,13.261751707201983,2.6900226928526445
235k,0.25,2,12,True,13.321732123027607,2.7142937948914554
235k,0.25,2,13,False,13.329491069523465,2.7093704315158575
235k,0.25,2,13,True,13.311607642629507,2.71216673210588
235k,0.25,2,14,False,13.155776702581282,2.6787546562683584
