dataset,aug_perc,num,epoch,ensemble,smape,mase*
235k,0.5,0,1,False,13.328489618072924,2.7247114661899983
235k,0.5,0,1,True,13.328489618072924,2.7247114661899983
235k,0.5,0,2,False,13.294148222545703,2.707553165466452
235k,0.5,0,2,True,13.283546102539907,2.7125433958419123
235k,0.5,0,3,False,13.250987290636507,2.703923137109444
235k,0.5,0,3,True,13.267947422510373,2.7080284482538923
235k,0.5,0,4,False,13.225048643256791,2.6886347029762105
235k,0.5,0,4,True,13.2489714248315,2.7020855032069138
235k,0.5,0,5,False,13.196510000155323,2.685345990913452
235k,0.5,0,5,True,13.232474112366129,2.6983518781109312
235k,0.5,0,6,False,13.172188202579552,2.680398943147782
235k,0.5,0,6,True,13.218560846607879,2.6945507726583093
235k,0.5,0,7,False,13.240516240275266,2.6767602446070344
235k,0.5,0,7,True,13.212280377087307,2.6915058736343633
235k,0.5,0,8,False,13.19274224872455,2.6865329471069646
235k,0.5,0,8,True,13.206041540444776,2.689895798006646
235k,0.5,0,9,False,13.316967690825187,2.7223058322123608
235k,0.5,0,9,True,13.21290278508994,2.6919259402682356
235k,0.5,0,10,False,13.229554807900552,2.691196163775621
235k,0.5,0,10,True,13.210996391348733,2.6913991120180003
235k,0.5,0,11,False,13.282717873180667,2.718066559152723
235k,0.5,0,11,True,13.21266397922645,2.6925900562648555
235k,0.5,0,12,False,13.301040771912819,2.688803673538999
235k,0.5,0,12,True,13.21384888287506,2.6913559283165296
235k,0.5,0,13,False,13.269354893383037,2.7104263015270855
235k,0.5,0,13,True,13.217688012592228,2.692405736787539
235k,0.5,0,14,False,13.237761435756715,2.701672297338531
235k,0.5,0,14,True,13.218462947094773,2.692881151206165
235k,0.5,0,15,False,13.211005916852116,2.696669306419284
235k,0.5,0,15,True,13.214508069135935,2.692532118364721
235k,0.5,1,1,False,13.405000865192507,2.727232187325475
235k,0.5,1,1,True,13.405000865192507,2.727232187325475
235k,0.5,1,2,False,13.462229208575643,2.7565437186504638
235k,0.5,1,2,True,13.412396742772083,2.7375012093975455
235k,0.5,1,3,False,13.447675027325747,2.757358074684837
235k,0.5,1,3,True,13.42684495477841,2.747371837612556
235k,0.5,1,4,False,13.497483628806988,2.7715329679799465
235k,0.5,1,4,True,13.433853040747199,2.750575383743538
235k,0.5,1,5,False,13.499624359600302,2.7791364559333402
235k,0.5,1,5,True,13.445892665873071,2.7560608537985476
235k,0.5,1,6,False,13.346346484285256,2.7217488802217717
235k,0.5,1,6,True,13.426881342651312,2.749836270055359
235k,0.5,1,7,False,13.28887640276669,2.70848463488215
235k,0.5,1,7,True,13.406396828833508,2.743742656319536
235k,0.5,1,8,False,13.360844466290922,2.726680113337123
235k,0.5,1,8,True,13.389960296596502,2.7380826299386323
235k,0.5,1,9,False,13.298402484801823,2.712381237435357
235k,0.5,1,9,True,13.370189570740575,2.7317637476689822
235k,0.5,1,10,False,13.320097449144455,2.7196020060082846
235k,0.5,1,10,True,13.358209024611547,2.7288760466966577
235k,0.5,1,11,False,13.327704257421257,2.7168991911804885
235k,0.5,1,11,True,13.348624467617944,2.72576898140353
235k,0.5,1,12,False,13.28042065862342,2.699909990583941
235k,0.5,1,12,True,13.33834521466283,2.722662235939792
235k,0.5,1,13,False,13.333165610858082,2.7164726288265824
235k,0.5,1,13,True,13.3337120617171,2.7210381422776875
235k,0.5,1,14,False,13.33583684202444,2.723058819027699
235k,0.5,1,14,True,13.332753104747784,2.7210464099423337
235k,0.5,1,15,False,13.282899127104532,2.7082276679453274
235k,0.5,1,15,True,13.327638405989694,2.7197644798368557
235k,0.5,2,1,False,13.371899974917289,2.7283313092895196
235k,0.5,2,1,True,13.371899974917289,2.7283313092895196
235k,0.5,2,2,False,13.506981053264843,2.758531717927003
235k,0.5,2,2,True,13.39723377912746,2.7395773449465173
235k,0.5,2,3,False,13.405000637385745,2.747537986532873
235k,0.5,2,3,True,13.367391093416689,2.7388000345591053
235k,0.5,2,4,False,13.301179496551226,2.71086373375838
235k,0.5,2,4,True,13.338265325450966,2.730472288655266
235k,0.5,2,5,False,13.516698900872964,2.7368289686384917
235k,0.5,2,5,True,13.358672418157484,2.731465212289713
235k,0.5,2,6,False,13.339138476411124,2.720576523605688
235k,0.5,2,6,True,13.33306721796068,2.7250379539436502
235k,0.5,2,7,False,13.297740877982779,2.708583033937764
235k,0.5,2,7,True,13.328591141283459,2.7232366279272036
235k,0.5,2,8,False,13.272927482303313,2.703827150689198
235k,0.5,2,8,True,13.315239127185095,2.719060470501709
235k,0.5,2,9,False,13.434256342665481,2.7683618363277276
235k,0.5,2,9,True,13.320354567065003,2.72259064350782
235k,0.5,2,10,False,13.283307307651548,2.7076683620390507
235k,0.5,2,10,True,13.308135636283682,2.718877533502911
235k,0.5,2,11,False,13.390797334696556,2.7443217359324703
235k,0.5,2,11,True,13.314324485120576,2.721319846061054
235k,0.5,2,12,False,13.312911720576855,2.6983716382455567
235k,0.5,2,12,True,13.309881868839168,2.7182888381511523
235k,0.5,2,13,False,13.263732289026079,2.6977449733801064
235k,0.5,2,13,True,13.304201470508579,2.7153181536810935
235k,0.5,2,14,False,13.266040954274278,2.702813954535418
235k,0.5,2,14,True,13.297667542228101,2.713583442433832
235k,0.5,2,15,False,13.291453152693267,2.7078553286923737
235k,0.5,2,15,True,13.2950562985314,2.7122004167831633
235k,0.5,3,1,False,20.917913402432514,4.23646770248882
235k,0.5,3,1,True,20.917913402432514,4.23646770248882
235k,0.5,3,2,False,20.91676266626089,4.236119826880115
235k,0.5,3,2,True,20.917337689936623,4.2362936551613295
235k,0.5,3,3,False,20.915150144112143,4.235683183554578
235k,0.5,3,3,True,20.916607859709792,4.236082169188959
235k,0.5,3,4,False,20.915496345029368,4.23564204862463
235k,0.5,3,4,True,20.91629250139487,4.235985231451525
235k,0.5,3,5,False,20.914764260544953,4.235388507322892
235k,0.5,3,5,True,20.915977444393626,4.235888371569429
235k,0.5,3,6,False,20.913924395848813,4.235117328315934
235k,0.5,3,6,True,20.915667779755175,4.235749688072312
235k,0.5,3,7,False,20.911848340352662,4.234601767971961
235k,0.5,3,7,True,20.914941904316592,4.235496943646969
235k,0.5,3,8,False,20.911257857965307,4.234388133818907
235k,0.5,3,8,True,20.91448593428975,4.235352122220065
235k,0.5,3,9,False,20.909502667665187,4.233945179467703
235k,0.5,3,9,True,20.913609391891395,4.235092002592818
235k,0.5,3,10,False,20.908782373121984,4.23371272912789
235k,0.5,3,10,True,20.913059235763704,4.234921740165218
235k,0.5,3,11,False,20.908446543591385,4.233560773646175
235k,0.5,3,11,True,20.912690448280152,4.23480115431976
235k,0.5,3,12,False,20.906889921554203,4.233168563125806
235k,0.5,3,12,True,20.912166085158717,4.234670179699095
235k,0.5,3,13,False,20.90614761525121,4.232942641525656
235k,0.5,3,13,True,20.91164870609625,4.23454114669458
235k,0.5,3,14,False,20.905518435308206,4.232742756096347
235k,0.5,3,14,True,20.911103190046056,4.234371593146639
235k,0.5,3,15,False,20.904891259942524,4.232546399318467
235k,0.5,3,15,True,20.910557777625183,4.2342020664431885
235k,0.5,4,1,False,21.205006235829465,4.321569445076611
235k,0.5,4,1,True,21.205006235829465,4.321569445076611
235k,0.5,4,2,False,21.200757901013585,4.320323071934186
235k,0.5,4,2,True,21.20287826013932,4.3209452629828515
235k,0.5,4,3,False,21.19677610303396,4.319144487664583
235k,0.5,4,3,True,21.200757901013585,4.320323071934186
235k,0.5,4,4,False,21.19303194930251,4.31802631320088
235k,0.5,4,4,True,21.198764292039584,4.319733037934083
235k,0.5,4,5,False,21.18813176846393,4.31670926850675
235k,0.5,4,5,True,21.19677610303396,4.319144487664583
235k,0.5,4,6,False,21.184134666422462,4.315577996723938
235k,0.5,4,6,True,21.194505010064862,4.318482426194364
235k,0.5,4,7,False,21.181399735761005,4.314695850315193
235k,0.5,4,7,True,21.19223977213034,4.317821914744136
235k,0.5,4,8,False,21.17816116366981,4.313737698454047
235k,0.5,4,8,True,21.19022356790077,4.317270836096261
