input_len,num_samples,num,epoch,ensemble,smape,mase*
18,all,4,1,False,15.625924713475309,3.139294528022781
18,all,4,1,True,15.625924713475309,3.139294528022781
18,all,,0,True,15.266457572104631,3.0638796421031507
18,all,6,1,False,15.49890265068303,3.111628381887857
18,all,6,1,True,15.49890265068303,3.111628381887857
18,all,5,1,False,15.62443465995455,3.14421787129308
18,all,5,1,True,15.62443465995455,3.14421787129308
18,all,0,1,False,13.579919239203068,2.7751514523101726
18,all,0,1,True,13.579919239203068,2.7751514523101726
18,all,8,1,False,15.368239901171382,3.08831680747464
18,all,8,1,True,15.368239901171382,3.08831680747464
18,all,3,1,False,15.741393934289023,3.1585797089313514
18,all,3,1,True,15.741393934289023,3.1585797089313514
18,all,7,1,False,15.401484734879974,3.0893841556824437
18,all,7,1,True,15.401484734879974,3.0893841556824437
18,all,9,1,False,15.309686309721977,3.0713954197954414
18,all,9,1,True,15.309686309721977,3.0713954197954414
18,all,2,1,False,15.982981849159236,3.2180513434609788
18,all,2,1,True,15.982981849159236,3.2180513434609788
18,all,1,1,False,16.191983918741293,3.2092137479537106
18,all,1,1,True,16.191983918741293,3.2092137479537106
